0,20,40,60,80,100,120,140,160,180,200
1,1.0002,1.0083,1,1,1,1.0004,1.0007,1.0589,1,1.0001
2,1,1.0009,1,1,1,1.0001,1.0007,1.0589,1,1
3,1,1,1,1,1,1,1.0007,1.0124,1,1
4,1,1,1,1,1,1,1.0007,1.0124,1,1
5,1,1,1,1,1,1,1.0007,1.0124,1,1
6,1,1,1,1,1,1,1.0007,1.0124,1,1
7,0.99989,1,1,1,1,1,1.0007,1.0124,1,1
8,0.99989,1,1,1,1,1,1.0007,1.0023,1,1
9,0.56255,1,1,1,1,0.99999,1.0007,1.0023,1,1
10,0.50813,1,1,1,1,0.99999,1.0007,1.0023,0.99999,1
11,0.50807,1,1,1,1,0.99999,1.0007,1.0023,0.99999,1
12,0.32239,1,1,1,1,0.99998,1.0007,1.0023,0.99999,1
13,0.25698,1,1,1,1,0.99998,1.0007,1.0023,0.99998,1
14,0.24952,1,1,1,1,0.99998,1.0007,1.0023,0.99998,1
15,0.24032,1,1,1,1,0.99998,1.0007,1.0023,0.99998,1
16,0.19339,1,1,1,1,0.99997,1.0007,1.0023,0.99998,1
17,0.18297,1,1,1,1,0.99996,1.0007,1.0023,0.99998,1
18,0.16427,1,1,1,1,0.99996,1.0007,1.0023,0.99998,1
19,0.14801,1,1,1,1,0.99994,1.0007,1.0023,0.99997,1
20,0.11552,1,1,1,1,0.99992,1.0007,1.0023,0.99996,1
21,0.11522,1,1,1,1,0.99991,1.0007,1.0023,0.99996,1
22,0.095936,1,1,1,1,0.99991,1.0007,1.0023,0.99996,1
23,0.0933,1,1,1,1,0.99989,1.0007,1.0023,0.99996,1
24,0.083003,1,1,1,1,0.99988,1.0007,1.0023,0.99995,1
25,0.073457,1,1,1,1,0.99988,1.0007,1.0023,0.99995,1
26,0.072932,1,1,1,1,0.99988,1.0007,1.0023,0.99994,1
27,0.070965,1,1,1,1,0.99987,1.0007,1.0023,0.99994,1
28,0.069552,1,1,1,1,0.99986,1.0007,1,0.99994,1
29,0.065726,1,1,1,1,0.99983,1.0007,1,0.99994,0.99999
30,0.065704,0.99075,1,1,1,0.99981,1.0007,1,0.99992,0.99999
31,0.064718,0.655,1,1,1,0.99981,1.0007,1,0.99992,0.99999
32,0.06417,0.34069,1,1,1,0.99981,1.0007,1,0.99992,0.99999
33,0.064068,0.27029,1,1,1,0.99978,1.0007,1,0.99992,0.99999
34,0.062966,0.26662,1,1,1,0.99976,1.0007,1,0.99991,0.99999
35,0.062846,0.25607,1,1,1,0.99976,1.0007,1,0.99991,0.99999
36,0.062733,0.20798,1,1,1,0.99975,1,1,0.99991,0.99999
37,0.062554,0.18893,1,1,1,0.99973,1,1,0.9999,0.99999
38,0.062413,0.15021,1,1,1,0.99973,1,1,0.99989,0.99999
39,0.062197,0.11942,1,1,1,0.99973,1,1,0.99989,0.99999
40,0.062061,0.119,1,1,1,0.99972,1,1,0.99988,0.99999
41,0.061712,0.098786,1,1,1,0.99972,1,1,0.99988,0.99998
42,0.059365,0.097373,1,1,1,0.99972,1,1,0.99987,0.99998
43,0.058872,0.08463,1,1,1,0.99971,1,1,0.99987,0.99998
44,0.05781,0.076684,1,1,1,0.99966,1,1,0.99986,0.99998
45,0.056052,0.072125,1,1,1,0.99965,1,1,0.99986,0.99998
46,0.056032,0.068291,1,1,1,0.99964,1,1,0.99985,0.99998
47,0.055514,0.065683,1,1,1,0.99962,1,1,0.99984,0.99998
48,0.055404,0.064613,1,1,1,0.99958,1,1,0.99982,0.99998
49,0.054412,0.064043,1,1,1,0.99949,1,1,0.99981,0.99998
50,0.053814,0.063611,1,1,1,0.99948,1,1,0.99981,0.99998
51,0.053445,0.063395,0.65964,1,1,0.99943,1,1,0.99981,0.99998
52,0.053311,0.05793,0.34728,0.99997,1,0.9994,1,1,0.99979,0.99998
53,0.052967,0.055741,0.27919,0.99997,1,0.99938,1,1,0.99978,0.99998
54,0.048232,0.049633,0.27874,0.99997,1,0.99938,1,1,0.99978,0.99998
55,0.047462,0.049503,0.2576,0.99997,1,0.99934,1,1,0.99978,0.99997
56,0.046032,0.04802,0.23648,0.99997,1,0.99934,1,1,0.99976,0.99997
57,0.045473,0.046632,0.19032,0.99997,1,0.99929,1,1,0.99975,0.99997
58,0.044268,0.046401,0.15786,0.99997,1,0.99928,1,1,0.99975,0.99997
59,0.043677,0.044459,0.15549,0.99997,1,0.99924,1,1,0.99973,0.99997
60,0.041586,0.043,0.12297,0.99997,1,0.99923,1,1,0.99973,0.99997
61,0.040992,0.041817,0.099729,0.99997,1,0.9992,1,1,0.99973,0.99997
62,0.039669,0.03984,0.098119,0.99997,1,0.99902,1,1,0.99971,0.99997
63,0.03951,0.039738,0.096957,0.99997,1,0.99898,1,1,0.99969,0.99997
64,0.038947,0.03948,0.085487,0.99997,1,0.99888,1,1,0.99968,0.99996
65,0.038736,0.039411,0.078023,0.99997,1,0.99839,1,1,0.99965,0.99996
66,0.038641,0.039262,0.077292,0.99997,1,0.99807,1,0.99752,0.99965,0.99996
67,0.038623,0.03916,0.074469,0.99997,1,0.99803,1,0.99752,0.99962,0.99996
68,0.038568,0.039091,0.073796,0.99997,1,0.99793,1,0.99752,0.99956,0.99995
69,0.038521,0.038994,0.073321,0.99997,1,0.99762,1,0.99752,0.99955,0.99995
70,0.037923,0.038834,0.072733,0.99997,1,0.99761,1,0.99752,0.99953,0.99995
71,0.037913,0.0386,0.072638,0.99997,1,0.99752,1,0.99752,0.99951,0.99995
72,0.037858,0.038419,0.07253,0.78976,1,0.99744,1,0.99752,0.99948,0.99995
73,0.037354,0.038352,0.071509,0.36005,1,0.99733,1,0.99752,0.99948,0.99995
74,0.037257,0.03796,0.071404,0.3062,1,0.99729,1,0.99752,0.99946,0.99995
75,0.037132,0.037924,0.070804,0.29264,1,0.99672,1,0.99752,0.99944,0.99995
76,0.036581,0.037487,0.070696,0.26718,1,0.99643,1,0.99752,0.99939,0.99995
77,0.036547,0.03736,0.070063,0.22297,1,0.9962,1,0.99752,0.99935,0.99995
78,0.036543,0.037004,0.069765,0.15958,1,0.99588,1,0.99752,0.99931,0.99995
79,0.036463,0.036911,0.069757,0.13304,1,0.99557,1,0.99752,0.9993,0.99995
80,0.036325,0.036854,0.066474,0.10249,1,0.99471,0.99992,0.99752,0.99929,0.99995
81,0.036002,0.03671,0.066191,0.10201,1,0.99459,0.99953,0.99752,0.99926,0.99994
82,0.035617,0.036096,0.065795,0.089329,1,0.99413,0.99953,0.99752,0.99926,0.99994
83,0.035031,0.035889,0.065578,0.080493,1,0.99388,0.99953,0.99752,0.99921,0.99994
84,0.034941,0.035291,0.064771,0.078008,1,0.99225,0.99953,0.99752,0.99921,0.99994
85,0.034842,0.035142,0.056988,0.075922,1,0.99194,0.99953,0.99752,0.9992,0.99993
86,0.034482,0.035023,0.05047,0.070756,1,0.99128,0.99953,0.99752,0.99919,0.99993
87,0.034104,0.03491,0.05033,0.069986,1,0.99097,0.99953,0.99752,0.99919,0.99993
88,0.034029,0.034854,0.049221,0.069925,1,0.99028,0.99953,0.99752,0.99918,0.99993
89,0.033789,0.034624,0.047924,0.068225,1,0.99006,0.99953,0.99752,0.99913,0.99993
90,0.03378,0.034093,0.044972,0.067387,1,0.99005,0.99953,0.99752,0.99913,0.99992
91,0.033578,0.034078,0.043766,0.057684,0.99999,0.98903,0.99953,0.99752,0.99908,0.99991
92,0.033432,0.033999,0.042664,0.054655,0.78977,0.98879,0.99953,0.99752,0.99908,0.99991
93,0.033345,0.033821,0.04059,0.05348,0.38043,0.98802,0.99953,0.99752,0.99906,0.9999
94,0.033283,0.033718,0.040358,0.053325,0.32717,0.98796,0.99953,0.99752,0.99905,0.9999
95,0.033091,0.033564,0.039979,0.049648,0.31948,0.98756,0.99953,0.99752,0.99903,0.99989
96,0.033084,0.033498,0.039262,0.047302,0.28266,0.98756,0.99953,0.99752,0.99899,0.99988
97,0.032988,0.033447,0.038981,0.044408,0.22299,0.98747,0.99953,0.99752,0.99897,0.99988
98,0.032917,0.033397,0.038815,0.043832,0.16253,0.98559,0.99953,0.99752,0.99895,0.99987
99,0.032892,0.033235,0.038721,0.043207,0.13818,0.98544,0.99953,0.99752,0.99895,0.99987
100,0.032764,0.033192,0.037876,0.041314,0.10707,0.98484,0.99953,0.99752,0.99888,0.99987
101,0.032695,0.032964,0.037812,0.041311,0.10406,0.98411,0.99953,0.99752,0.99875,0.99986
102,0.032462,0.032692,0.037744,0.041277,0.098894,0.98202,0.99953,0.99752,0.99865,0.99986
103,0.032433,0.032553,0.036974,0.041181,0.091427,0.98104,0.99953,0.99752,0.99863,0.99986
104,0.032348,0.03249,0.0367,0.040545,0.086963,0.98084,0.99953,0.99752,0.99855,0.99983
105,0.031775,0.0323,0.036222,0.040182,0.0846,0.97996,0.99953,0.99752,0.9984,0.99982
106,0.031616,0.032276,0.035816,0.039907,0.084078,0.97938,0.99953,0.99752,0.99828,0.99982
107,0.031579,0.031904,0.035799,0.039817,0.083667,0.97801,0.99953,0.99752,0.99813,0.99981
108,0.031496,0.031834,0.03526,0.039817,0.079121,0.97793,0.99953,0.99752,0.99777,0.99981
109,0.031314,0.031813,0.034872,0.038627,0.077755,0.97533,0.99953,0.99752,0.99755,0.9998
110,0.031235,0.031696,0.034811,0.038597,0.070353,0.9592,0.99953,0.99752,0.99751,0.99979
111,0.031152,0.031284,0.033961,0.037935,0.069133,0.94375,0.99953,0.99752,0.99729,0.99979
112,0.031004,0.031224,0.033852,0.036845,0.060795,0.86151,0.99953,0.99752,0.9972,0.99979
113,0.030833,0.031192,0.03277,0.036658,0.055784,0.82769,0.99953,0.99752,0.99687,0.99979
114,0.030345,0.031128,0.032437,0.036492,0.055128,0.78961,0.99953,0.99752,0.99642,0.99979
115,0.030217,0.030914,0.032333,0.036392,0.054927,0.37875,0.99953,0.99752,0.99601,0.99978
116,0.03012,0.030863,0.031592,0.036257,0.054908,0.32614,0.99953,0.99752,0.99572,0.99978
117,0.030104,0.030261,0.031484,0.035958,0.05368,0.29341,0.99953,0.99752,0.99551,0.99978
118,0.029858,0.030208,0.031473,0.035548,0.053282,0.28593,0.99953,0.9972,0.99522,0.99977
119,0.029555,0.030205,0.030858,0.035275,0.053281,0.22297,0.99953,0.9972,0.99509,0.99976
120,0.029522,0.030161,0.030779,0.034863,0.05253,0.16663,0.99953,0.9972,0.99489,0.9997
121,0.029424,0.029991,0.030761,0.03431,0.048477,0.14329,0.99953,0.9972,0.99453,0.99969
122,0.029347,0.029981,0.030737,0.033757,0.048334,0.12269,0.99953,0.9972,0.99426,0.99968
123,0.02934,0.029959,0.03048,0.033506,0.04818,0.11099,0.99953,0.9972,0.99422,0.99967
124,0.02923,0.029886,0.030233,0.03339,0.047618,0.10949,0.99953,0.9972,0.99394,0.99966
125,0.028988,0.029789,0.030221,0.033289,0.046711,0.10633,0.99953,0.9972,0.99387,0.99966
126,0.028967,0.029497,0.030196,0.033237,0.04663,0.094203,0.99953,0.9972,0.99228,0.99964
127,0.028911,0.029386,0.03001,0.033162,0.046174,0.085799,0.99953,0.9972,0.99214,0.9996
128,0.028898,0.029381,0.029772,0.03303,0.045448,0.078083,0.99953,0.9972,0.99205,0.99959
129,0.028866,0.029362,0.029738,0.032756,0.044967,0.071458,0.99953,0.9972,0.99185,0.99957
130,0.02884,0.02934,0.029663,0.032723,0.04453,0.07042,0.99953,0.9972,0.99144,0.99957
131,0.028685,0.029278,0.029659,0.032496,0.044269,0.062046,0.99953,0.9972,0.99142,0.99955
132,0.028634,0.029216,0.029574,0.032153,0.043587,0.060022,0.99953,0.9972,0.99116,0.99953
133,0.02859,0.028819,0.029337,0.032143,0.042476,0.049445,0.79046,0.9972,0.99096,0.99951
134,0.028254,0.028807,0.029091,0.031997,0.042381,0.047756,0.44077,0.9972,0.99066,0.99951
135,0.028125,0.028792,0.028996,0.031654,0.042218,0.045789,0.38371,0.9972,0.99057,0.99949
136,0.028013,0.028366,0.028952,0.031631,0.042178,0.045597,0.35806,0.9972,0.98997,0.99944
137,0.027752,0.028288,0.028647,0.031626,0.042142,0.044339,0.32735,0.9972,0.98993,0.99943
138,0.027597,0.028061,0.028526,0.031379,0.041693,0.043386,0.22566,0.9972,0.98957,0.9994
139,0.027519,0.027944,0.02835,0.031344,0.041427,0.042459,0.18643,0.9972,0.98947,0.99939
140,0.027482,0.02793,0.028008,0.03121,0.041284,0.04213,0.15763,0.9972,0.98878,0.99938
141,0.027426,0.027697,0.027985,0.030904,0.041192,0.042071,0.12186,0.9972,0.98774,0.99938
142,0.027206,0.027681,0.027964,0.030806,0.040585,0.041229,0.11932,0.9972,0.98756,0.99937
143,0.027146,0.027645,0.027876,0.030741,0.040349,0.040613,0.10583,0.9972,0.98691,0.99928
144,0.02709,0.027518,0.027829,0.030635,0.039914,0.04048,0.097334,0.9972,0.98678,0.99928
145,0.027046,0.0274,0.027821,0.030303,0.03986,0.040012,0.094007,0.9972,0.98652,0.99922
146,0.0267,0.027311,0.027778,0.030257,0.039423,0.039771,0.079101,0.9972,0.98509,0.99916
147,0.026349,0.027184,0.027736,0.030108,0.039066,0.03901,0.071919,0.9972,0.98473,0.99913
148,0.026295,0.026852,0.027724,0.029874,0.039039,0.037091,0.063248,0.9972,0.98301,0.99913
149,0.026264,0.026799,0.027505,0.029677,0.037383,0.036553,0.056522,0.9972,0.98115,0.99909
150,0.026245,0.026747,0.027086,0.029588,0.037173,0.036405,0.052454,0.9972,0.97921,0.99909
151,0.026192,0.026673,0.02701,0.029563,0.036936,0.03628,0.052084,0.9972,0.97862,0.99908
152,0.026074,0.026602,0.026988,0.029537,0.035696,0.036255,0.049346,0.9972,0.97851,0.99904
153,0.026052,0.026545,0.026985,0.029377,0.034711,0.034597,0.049089,0.792,0.97811,0.99904
154,0.025971,0.026454,0.026854,0.029158,0.034675,0.034069,0.048694,0.46563,0.97769,0.99903
155,0.025882,0.026369,0.026706,0.028965,0.033982,0.03402,0.048135,0.42274,0.97558,0.99903
156,0.025687,0.026175,0.026552,0.028915,0.033171,0.032885,0.046228,0.38601,0.97299,0.99898
157,0.025626,0.026129,0.026497,0.028234,0.03277,0.032762,0.046215,0.34059,0.97215,0.99898
158,0.02558,0.025976,0.026454,0.02822,0.032592,0.032212,0.045569,0.23167,0.97159,0.99896
159,0.025549,0.025938,0.026399,0.028217,0.0319,0.03183,0.044875,0.21018,0.97103,0.99892
160,0.025205,0.025798,0.026166,0.028088,0.031801,0.031563,0.044095,0.16449,0.9691,0.99891
161,0.025081,0.025487,0.025775,0.028013,0.031059,0.031364,0.043858,0.1255,0.96836,0.9989
162,0.025046,0.025394,0.025634,0.027692,0.030873,0.030882,0.041966,0.12326,0.96522,0.99888
163,0.024939,0.025271,0.025603,0.027554,0.030742,0.030849,0.04193,0.11151,0.96443,0.99883
164,0.024882,0.025241,0.025514,0.027384,0.030713,0.030667,0.041727,0.10715,0.96399,0.99877
165,0.024661,0.025231,0.025456,0.027222,0.030611,0.03043,0.040194,0.099527,0.9637,0.99871
166,0.024556,0.025103,0.025396,0.027181,0.030466,0.02993,0.038572,0.076844,0.96338,0.99857
167,0.024551,0.024764,0.025384,0.026984,0.030034,0.029305,0.038338,0.069107,0.96248,0.99853
168,0.024462,0.024762,0.025077,0.026836,0.029409,0.028983,0.0382,0.062457,0.95313,0.99845
169,0.024439,0.024742,0.025074,0.02671,0.029294,0.028635,0.038064,0.061868,0.94802,0.99791
170,0.024151,0.024649,0.025068,0.026316,0.029115,0.028265,0.037992,0.061855,0.93441,0.99788
171,0.024002,0.024648,0.025049,0.026268,0.02858,0.028161,0.037878,0.058932,0.92565,0.99788
172,0.023954,0.024494,0.024959,0.026263,0.028068,0.028079,0.036596,0.057793,0.92023,0.99769
173,0.023945,0.02438,0.024908,0.026217,0.027786,0.028022,0.035631,0.056261,0.90533,0.99723
174,0.023782,0.024162,0.024499,0.026147,0.027769,0.027811,0.035364,0.05297,0.90112,0.99691
175,0.023753,0.024103,0.024348,0.025964,0.027748,0.027515,0.035069,0.052172,0.88088,0.99681
176,0.02344,0.023853,0.024304,0.025842,0.02721,0.027064,0.035,0.050604,0.79086,0.99678
177,0.023392,0.023836,0.024132,0.025631,0.027138,0.027043,0.034864,0.049739,0.43295,0.99674
178,0.023361,0.023783,0.024075,0.025296,0.026989,0.027005,0.034474,0.048945,0.40283,0.99671
179,0.023227,0.023771,0.023943,0.025182,0.026918,0.02689,0.034412,0.048404,0.37185,0.99658
180,0.023091,0.023686,0.023818,0.024976,0.026535,0.026835,0.033782,0.047495,0.31364,0.99651
181,0.022844,0.023149,0.02353,0.024963,0.026464,0.026559,0.033371,0.046676,0.23059,0.99595
182,0.022553,0.022793,0.023432,0.024843,0.026451,0.02625,0.033287,0.046191,0.19195,0.99577
183,0.022146,0.022678,0.023145,0.02435,0.026074,0.026063,0.033129,0.045415,0.16333,0.9955
184,0.022127,0.022568,0.02287,0.024308,0.025826,0.025925,0.033089,0.045271,0.14462,0.99463
185,0.022117,0.022409,0.022828,0.024018,0.025679,0.025642,0.032677,0.044699,0.13177,0.99412
186,0.022095,0.022331,0.022524,0.023941,0.025545,0.025345,0.032255,0.044526,0.11622,0.99316
187,0.022094,0.022325,0.022506,0.023876,0.025543,0.025149,0.031343,0.044025,0.078029,0.99079
188,0.022046,0.022312,0.022439,0.023728,0.0254,0.024702,0.030908,0.041525,0.063112,0.98863
189,0.021907,0.022237,0.022424,0.023671,0.025072,0.024603,0.030847,0.041094,0.058767,0.98097
